year,Backstroke,Breastroke,Butterfly,Freestyle,Medley
2003,0.0,0.0,0.0,0.0,0.0
2004,-0.26258643724999997,-0.3823420625,-0.566319424,-0.4419129622,-0.19458477975
2005,0.07469614349999999,-0.0012632639999999862,0.17601104299999998,-0.10662541480000001,0.76312969575
2006,-0.5214095165,-0.66949419925,-0.5033341849999999,-0.6908281857999999,-0.384167339
2007,-0.8802965395,-0.72925581425,-0.9665361575,-0.9893449468,-0.5697497715
2008,-2.56806823075,-2.1517576,-2.21566008525,-2.3887512801,-2.24327496175
2009,-3.0629506745,-3.17965856825,-2.9720048615000003,-2.582969781,-2.43660478775
2010,-2.165467007,-1.8251710229999998,-1.5527249285,-1.6590150619,-1.92698728375
2011,-3.07368649775,-2.6068828977500003,-2.4651146704999998,-2.4112932385,-2.81463786625
2012,-3.41370027825,-3.2560024270000003,-2.729413179,-2.8674094714,-3.3451300907499997
2013,-3.0823703890000003,-3.1736476715,-2.3151898015,-2.7675779701,-3.11967957
2014,-3.019900301,-3.1828468485,-2.40531437275,-2.9440819598,-3.3056098515
2015,-3.7101093462500003,-3.5781085085,-2.8570738217500002,-3.0060096947,-3.4072802125
2016,-3.8391612455,-3.9137047327500003,-3.1631170395,-3.4477249502,-3.7941194727500003
2017,-3.6707878532500002,-3.9473040389999996,-3.161440499,-3.238024955,-3.577687078
2018,-3.7248209575,-3.78830845325,-2.93116012675,-3.299334839,-3.329743212
2019,-3.702302676,-4.0499813945000005,-3.03589489775,-3.5286737954000005,-3.5729094605
2020,-2.35328881025,-2.8610825479999997,-1.81538225,-1.9701344581,-2.09036148625
2021,-4.2964690255,-4.628257576,-3.67685860025,-3.7252753861000003,-3.7108994085
2022,-3.80152040725,-3.7887418782499998,-3.2139064095,-3.4555942106,-3.4101458444999997
